Kód,Územná jednotka,Spolu,muži (abs.),muži (%),ženy (abs.),ženy (%)
SK032D516741,Dolná Ždaňa,848,402,47.41,446,52.59
SK032D516767,Hliník nad Hronom,2725,1344,49.32,1381,50.68
SK032D516791,Horná Ždaňa,544,278,51.1,266,48.9
SK032D516821,Hronská Dúbrava,417,221,53,196,47
SK032D516848,Ihráč,499,245,49.1,254,50.9
SK032D516872,Janova Lehota,939,453,48.24,486,51.76
SK032D516881,Jastrabá,562,291,51.78,271,48.22
SK032D516937,Kopernica,397,206,51.89,191,48.11
SK032D516945,Kosorín,476,238,50,238,50
SK032D516961,Krahule,259,124,47.88,135,52.12
SK032D516970,Kremnica,4934,2366,47.95,2568,52.05
SK032D516988,Kremnické Bane,255,134,52.55,121,47.45
SK032D516996,Kunešov,201,105,52.24,96,47.76
SK032D517011,Lehôtka pod Brehmi,396,207,52.27,189,47.73
SK032D517020,Lovča,669,325,48.58,344,51.42
SK032D517038,Lovčica-Trubín,1574,770,48.92,804,51.08
SK032D517046,Lúčky (Okres Žiar nad Hronom),192,98,51.04,94,48.96
SK032D517089,Nevoľné,405,191,47.16,214,52.84
SK032D517135,Pitelová,631,307,48.65,324,51.35
SK032D517186,Prestavlky,679,342,50.37,337,49.63
SK032D517194,Prochot,567,268,47.27,299,52.73
SK032D517216,Repište,276,142,51.45,134,48.55
SK032D517241,Sklené Teplice,380,198,52.11,182,47.89
SK032D517259,Slaská,511,261,51.08,250,48.92
SK032D517267,Stará Kremnička,1131,575,50.84,556,49.16
SK032D517313,Trnavá Hora,1238,626,50.57,612,49.43
SK032D517364,Vyhne,1149,551,47.95,598,52.05
SK032D581747,Horná Ves (Okres Žiar nad Hronom),675,336,49.78,339,50.22
SK032D599328,Ladomerská Vieska,792,396,50,396,50
SK032D599336,Lutila,1425,690,48.42,735,51.58
SK0321508438,Banská Bystrica,76018,35815,47.11,40203,52.89
SK0321508454,Badín,2028,989,48.77,1039,51.23
SK0321508471,Baláže,221,110,49.77,111,50.23
SK0321508519,Čerín,450,220,48.89,230,51.11
SK0321508543,Dolná Mičiná,439,221,50.34,218,49.66
SK0321508551,Dolný Harmanec,261,129,49.43,132,50.57
SK0321508560,Donovaly,249,135,54.22,114,45.78
SK0321508586,Dúbravica,418,203,48.56,215,51.44
SK0321508594,Harmanec,848,430,50.71,418,49.29
SK0321508616,Hiadeľ,512,241,47.07,271,52.93
SK0321508632,Horná Mičiná,641,304,47.43,337,52.57
SK0321508641,Horné Pršany,398,193,48.49,205,51.51
SK0321508659,Hrochoť,1452,714,49.17,738,50.83
SK0321508675,Brusno,2153,1054,48.95,1099,51.05
SK0321508713,Kordíky,477,244,51.15,233,48.85
SK0321508721,Králiky,693,331,47.76,362,52.24
SK0321508748,Ľubietová,1233,611,49.55,622,50.45
SK0321508756,Lučatín,671,327,48.73,344,51.27
SK0321508764,Medzibrod,1382,683,49.42,699,50.58
SK0321508781,Môlča,412,204,49.51,208,50.49
SK0321508799,Moštenica,233,112,48.07,121,51.93
SK0321508802,Motyčky,105,52,49.52,53,50.48
SK0321508837,Oravce,177,78,44.07,99,55.93
SK0321508861,Podkonice,914,439,48.03,475,51.97
SK0321508896,Pohronský Bukovec,116,55,47.41,61,52.59
SK0321508918,Poniky,1529,745,48.72,784,51.28
SK0321508926,Povrazník,143,69,48.25,74,51.75
SK0321508942,Priechod,1009,488,48.36,521,51.64
SK0321508969,Riečka (Okres Banská Bystrica),832,405,48.68,427,51.32
SK0321508977,Sebedín-Bečov,358,163,45.53,195,54.47
SK0321508985,Selce (Okres Banská Bystrica),2125,1058,49.79,1067,50.21
SK0321509001,Slovenská Ľupča,3265,1597,48.91,1668,51.09
SK0321509019,Staré Hory,551,275,49.91,276,50.09
SK0321509027,Strelníky,770,376,48.83,394,51.17
SK0321509035,Špania Dolina,223,116,52.02,107,47.98
SK0321509060,Tajov,668,360,53.89,308,46.11
SK0321557269,Turecká,159,84,52.83,75,47.17
SK0321557277,Kynceľová,391,203,51.92,188,48.08
SK0321557285,Nemce,1142,573,50.18,569,49.82
SK0321557293,Vlkanová,1293,630,48.72,663,51.28
SK0321580236,Hronsek,654,314,48.01,340,51.99
SK0321580244,Malachov,1117,567,50.76,550,49.24
SK0322516597,Svätý Anton,1222,581,47.55,641,52.45
SK0322516601,Baďan,167,90,53.89,77,46.11
SK0322516627,Banská Belá,1171,579,49.44,592,50.56
SK0322516643,Banská Štiavnica,9628,4647,48.27,4981,51.73
SK0322516651,Banský Studenec,463,220,47.52,243,52.48
SK0322516678,Beluj,137,61,44.53,76,55.47
SK0322516716,Dekýš,193,96,49.74,97,50.26
SK0322516856,Ilija,350,166,47.43,184,52.57
SK0322516953,Kozelník,161,78,48.45,83,51.55
SK0322517071,Močiar,163,86,52.76,77,47.24
SK0322517143,Podhorie (Okres Banská Štiavnica),329,164,49.85,165,50.15
SK0322517160,Počúvadlo,86,40,46.51,46,53.49
SK0322517178,Prenčov,637,305,47.88,332,52.12
SK0322517283,Štiavnické Bane,813,405,49.82,408,50.18
SK0322517372,Vysoká (Okres Banská Štiavnica),129,70,54.26,59,45.74
SK0323508446,Bacúch,897,440,49.05,457,50.95
SK0323508462,Beňuš,1152,573,49.74,579,50.26
SK0323508489,Braväcovo,680,331,48.68,349,51.32
SK0323508497,Brezno,20061,9565,47.68,10496,52.32
SK0323508527,Čierny Balog,5062,2545,50.28,2517,49.72
SK0323508535,Dolná Lehota,681,355,52.13,326,47.87
SK0323508578,Drábsko,176,75,42.61,101,57.39
SK0323508608,Heľpa,2471,1188,48.08,1283,51.92
SK0323508624,Horná Lehota (Okres Brezno),598,306,51.17,292,48.83
SK0323508667,Hronec,1146,563,49.13,583,50.87
SK0323508691,Jarabá,39,21,53.85,18,46.15
SK0323508705,Jasenie,1138,565,49.65,573,50.35
SK0323508730,Lom nad Rimavicou,228,118,51.75,110,48.25
SK0323508772,Michalová,1291,629,48.72,662,51.28
SK0323508811,Mýto pod Ďumbierom,525,263,50.1,262,49.9
SK0323508829,Nemecká,1730,850,49.13,880,50.87
SK0323508845,Osrblie,357,191,53.5,166,46.5
SK0323508853,Podbrezová,3622,1754,48.43,1868,51.57
SK0323508870,Pohorelá,2141,1006,46.99,1135,53.01
SK0323508888,Pohronská Polhora,1700,846,49.76,854,50.24
SK0323508900,Polomka,2942,1444,49.08,1498,50.92
SK0323508934,Predajná,1301,635,48.81,666,51.19
SK0323508951,Ráztoka,279,133,47.67,146,52.33
SK0323508993,Sihla,197,100,50.76,97,49.24
SK0323509043,Šumiac,1335,657,49.21,678,50.79
SK0323509051,Telgárt,1499,738,49.23,761,50.77
SK0323509086,Valaská,3442,1688,49.04,1754,50.96
SK0323509094,Vaľkovňa,418,205,49.04,213,50.96
SK0323509124,Závadka nad Hronom,2174,1082,49.77,1092,50.23
SK0323557251,Bystrá (Okres Brezno),164,88,53.66,76,46.34
SK0324511510,Látky,564,282,50,282,50
SK0324511731,Podkriváň,569,284,49.91,285,50.09
SK0324518263,Detva,13955,6766,48.48,7189,51.52
SK0324518271,Detvianska Huta,661,336,50.83,325,49.17
SK0324518379,Dúbravy,953,482,50.58,471,49.42
SK0324518450,Horný Tisovník,170,95,55.88,75,44.12
SK0324518468,Hriňová,7182,3505,48.8,3677,51.2
SK0324518492,Klokoč,481,220,45.74,261,54.26
SK0324518549,Kriváň,1752,875,49.94,877,50.06
SK0324518794,Slatinské Lazy,537,263,48.98,274,51.02
SK0324518816,Stará Huta,322,164,50.93,158,49.07
SK0324518824,Stožok,1074,525,48.88,549,51.12
SK0324518921,Vígľaš,1546,740,47.87,806,52.13
SK0324518930,Vígľašská Huta-Kalinka,320,168,52.5,152,47.5
SK0324580520,Korytárky,948,481,50.74,467,49.26
SK0325518212,Bzovík,1129,570,50.49,559,49.51
SK0325518239,Cerovo,572,287,50.17,285,49.83
SK0325518247,Čabradský Vrbovok,235,121,51.49,114,48.51
SK0325518255,Čekovce,450,221,49.11,229,50.89
SK0325518280,Devičie,305,152,49.84,153,50.16
SK0325518301,Dolné Mladonice,126,61,48.41,65,51.59
SK0325518310,Dolný Badín,250,122,48.8,128,51.2
SK0325518336,Domaníky,213,101,47.42,112,52.58
SK0325518344,Drážovce,119,60,50.42,59,49.58
SK0325518352,Drienovo,107,54,50.47,53,49.53
SK0325518387,Dudince,1380,629,45.58,751,54.42
SK0325518409,Hontianske Moravce,781,404,51.73,377,48.27
SK0325518417,Hontianske Nemce,1424,709,49.79,715,50.21
SK0325518425,Hontianske Tesáre,889,421,47.36,468,52.64
SK0325518433,Horné Mladonice,186,83,44.62,103,55.38
SK0325518441,Horný Badín,177,90,50.85,87,49.15
SK0325518484,Jalšovík,188,93,49.47,95,50.53
SK0325518514,Kozí Vrbovok,156,85,54.49,71,45.51
SK0325518531,Kráľovce-Krnišov,144,65,45.14,79,54.86
SK0325518557,Krupina,7576,3712,49,3864,51
SK0325518565,Lackov,95,52,54.74,43,45.26
SK0325518573,Ladzany,258,137,53.1,121,46.9
SK0325518603,Lišov,217,120,55.3,97,44.7
SK0325518611,Litava,754,373,49.47,381,50.53
SK0325518646,Medovarce,213,97,45.54,116,54.46
SK0325518701,Rykynčice,265,133,50.19,132,49.81
SK0325518735,Sebechleby,1175,592,50.38,583,49.62
SK0325518743,Selce (Okres Krupina),93,48,51.61,45,48.39
SK0325518751,Senohrad,728,369,50.69,359,49.31
SK0325518832,Sudince,85,43,50.59,42,49.41
SK0325518841,Súdovce,209,120,57.42,89,42.58
SK0325518867,Terany,583,282,48.37,301,51.63
SK0325518883,Trpín,107,54,50.47,53,49.53
SK0325518905,Uňatín,177,90,50.85,87,49.15
SK0325518956,Zemiansky Vrbovok,78,39,50,39,50
SK0325518999,Žibritov,73,46,63.01,27,36.99
SK0326511218,Lučenec,25902,12048,46.51,13854,53.49
SK0326511226,Ábelová,219,107,48.86,112,51.14
SK0326511234,Belina,617,301,48.78,316,51.22
SK0326511251,Boľkovce,636,310,48.74,326,51.26
SK0326511277,Budiná,207,98,47.34,109,52.66
SK0326511293,Buzitka,478,249,52.09,229,47.91
SK0326511323,Čakanovce (Okres Lučenec),1126,551,48.93,575,51.07
SK0326511331,Čamovce,581,305,52.5,276,47.5
SK0326511358,Divín,2030,1030,50.74,1000,49.26
SK0326511366,Dobroč,596,300,50.34,296,49.66
SK0326511374,Kotmanová,279,143,51.25,136,48.75
SK0326511391,Fiľakovo,9949,4759,47.83,5190,52.17
SK0326511404,Fiľakovské Kováče,909,447,49.17,462,50.83
SK0326511421,Halič,1662,831,50,831,50
SK0326511439,Holiša,670,342,51.04,328,48.96
SK0326511463,Jelšovec,331,167,50.45,164,49.55
SK0326511480,Kalonda,198,97,48.99,101,51.01
SK0326511528,Lehôtka,355,179,50.42,176,49.58
SK0326511536,Lentvora,82,49,59.76,33,40.24
SK0326511544,Lipovany,246,125,50.81,121,49.19
SK0326511552,Lovinobaňa,1935,963,49.77,972,50.23
SK0326511561,Ľuboreč,348,174,50,174,50
SK0326511579,Lupoč,206,104,50.49,102,49.51
SK0326511609,Mašková,325,169,52,156,48
SK0326511625,Mučín,763,392,51.38,371,48.62
SK0326511641,Mýtna,1165,581,49.87,584,50.13
SK0326511668,Nitra nad Ipľom,381,201,52.76,180,47.24
SK0326511676,Nové Hony,179,85,47.49,94,52.51
SK0326511692,Panické Dravce,743,373,50.2,370,49.8
SK0326511706,Píla (Okres Lučenec),248,124,50,124,50
SK0326511714,Pinciná,208,95,45.67,113,54.33
SK0326511722,Pleš,191,95,49.74,96,50.26
SK0326511749,Podrečany,527,266,50.47,261,49.53
SK0326511757,Polichno,128,69,53.91,59,46.09
SK0326511773,Praha,75,36,48,39,52
SK0326511781,Prša,190,94,49.47,96,50.53
SK0326511790,Radzovce,1602,818,51.06,784,48.94
SK0326511803,Rapovce,930,463,49.78,467,50.22
SK0326511811,Ratka,329,148,44.98,181,55.02
SK0326511838,Ružiná,835,419,50.18,416,49.82
SK0326511846,Stará Halič,638,292,45.77,346,54.23
SK0326511854,Šávoľ,588,288,48.98,300,51.02
SK0326511862,Šiatorská Bukovinka,289,141,48.79,148,51.21
SK0326511871,Šíd,1329,674,50.71,655,49.29
SK0326511897,Šurice,471,244,51.8,227,48.2
SK0326511901,Točnica,388,186,47.94,202,52.06
SK0326511919,Tomášovce (Okres Lučenec),1374,691,50.29,683,49.71
SK0326511927,Trebeľovce,867,446,51.44,421,48.56
SK0326511943,Tuhár,339,182,53.69,157,46.31
SK0326511994,Veľká nad Ipľom,932,455,48.82,477,51.18
SK0326512010,Veľké Dravce,698,352,50.43,346,49.57
SK0326557307,Vidiná,1694,843,49.76,851,50.24
SK0326557315,Biskupice,1137,572,50.31,565,49.69
SK0326557331,Gregorova Vieska,144,72,50,72,50
SK0326557340,Trenč,558,299,53.58,259,46.42
SK0326558273,Bulhary,320,148,46.25,172,53.75
SK0326580309,Mikušovce (Okres Lučenec),275,134,48.73,141,51.27
SK0327511269,Breznička (Okres Poltár),725,377,52,348,48
SK0327511315,Cinobaňa,2055,1044,50.8,1011,49.2
SK0327511340,České Brezovo,444,216,48.65,228,51.35
SK0327511447,Hradište (Okres Poltár),240,123,51.25,117,48.75
SK0327511471,Kalinovo,2226,1094,49.15,1132,50.85
SK0327511498,Kokava nad Rimavicou,2761,1382,50.05,1379,49.95
SK0327511501,Krná,54,31,57.41,23,42.59
SK0327511595,Málinec,1396,691,49.5,705,50.5
SK0327511617,Mládzovo,101,56,55.45,45,44.55
SK0327511684,Ozdín,288,140,48.61,148,51.39
SK0327511765,Poltár,5333,2567,48.13,2766,51.87
SK0327511820,Rovňany,246,123,50,123,50
SK0327511889,Šoltýska,86,45,52.33,41,47.67
SK0327511978,Uhorské,515,275,53.4,240,46.6
SK0327512001,Veľká Ves,424,200,47.17,224,52.83
SK0327514900,Hrnčiarska Ves,965,470,48.7,495,51.3
SK0327514918,Hrnčiarske Zalužany,832,416,50,416,50
SK0327515515,Selce (Okres Poltár),113,57,50.44,56,49.56
SK0327515591,Sušany,418,196,46.89,222,53.11
SK0327557323,Ďubákovo,79,36,45.57,43,54.43
SK0327580317,Utekáč,878,408,46.47,470,53.53
SK0327582051,Zlatno (Okres Poltár),455,216,47.47,239,52.53
SK0328514675,Držkovce,591,285,48.22,306,51.78
SK0328514721,Gemer,899,453,50.39,446,49.61
SK0328514756,Gemerská Ves,1001,530,52.95,471,47.05
SK0328514896,Hrlica,56,31,55.36,25,44.64
SK0328514977,Chvalová,194,102,52.58,92,47.42
SK0328515159,Levkuška,239,110,46.03,129,53.97
SK0328515256,Otročok,332,171,51.51,161,48.49
SK0328515302,Ploské (Okres Revúca),71,37,52.11,34,47.89
SK0328515311,Polina,89,44,49.44,45,50.56
SK0328515361,Rašice,117,56,47.86,61,52.14
SK0328515370,Ratková,622,320,51.45,302,48.55
SK0328515400,Ratkovské Bystré,304,155,50.99,149,49.01
SK0328515507,Rybník (Okres Revúca),158,82,51.9,76,48.1
SK0328515523,Skerešovo,216,113,52.31,103,47.69
SK0328515574,Leváre,80,41,51.25,39,48.75
SK0328515612,Tornaľa,6971,3344,47.97,3627,52.03
SK0328515761,Višňové (Okres Revúca),59,31,52.54,28,47.46
SK0328515833,Žiar (Okres Revúca),111,45,40.54,66,59.46
SK0328525677,Gemerské Teplice,365,184,50.41,181,49.59
SK0328525685,Gemerský Sad,299,153,51.17,146,48.83
SK0328525766,Hucín,939,463,49.31,476,50.69
SK0328525774,Chyžné,402,203,50.5,199,49.5
SK0328525791,Jelšava,3209,1650,51.42,1559,48.58
SK0328525812,Kameňany,842,441,52.38,401,47.62
SK0328525901,Licince,795,406,51.07,389,48.93
SK0328525928,Lubeník,1257,616,49.01,641,50.99
SK0328525944,Magnezitovce,455,233,51.21,222,48.79
SK0328525987,Muráň,1236,616,49.84,620,50.16
SK0328525995,Muránska Dlhá Lúka,918,465,50.65,453,49.35
SK0328526002,Muránska Huta,178,88,49.44,90,50.56
SK0328526011,Muránska Lehota,199,109,54.77,90,45.23
SK0328526029,Muránska Zdychava,228,121,53.07,107,46.93
SK0328526037,Nandraž,274,142,51.82,132,48.18
SK0328526100,Prihradzany,73,40,54.79,33,45.21
SK0328526118,Rákoš (Okres Revúca),409,210,51.34,199,48.66
SK0328526142,Revúca,11484,5532,48.17,5952,51.83
SK0328526151,Revúcka Lehota,310,154,49.68,156,50.32
SK0328526258,Sirk,1314,655,49.85,659,50.15
SK0328526304,Šivetice,360,192,53.33,168,46.67
SK0328526321,Turčok,287,148,51.57,139,48.43
SK0328557820,Sása (Okres Revúca),186,98,52.69,88,47.31
SK0328580384,Mokrá Lúka,540,257,47.59,283,52.41
SK0329514462,Rimavská Sobota,22048,10486,47.56,11562,52.44
SK0329514489,Babinec,60,33,55,27,45
SK0329514501,Barca,596,314,52.68,282,47.32
SK0329514519,Bátka,849,421,49.59,428,50.41
SK0329514535,Belín,179,98,54.75,81,45.25
SK0329514543,Blhovce,780,374,47.95,406,52.05
SK0329514551,Bottovo,197,100,50.76,97,49.24
SK0329514586,Budikovany,62,29,46.77,33,53.23
SK0329514594,Cakov,357,179,50.14,178,49.86
SK0329514608,Čerenčany,548,277,50.55,271,49.45
SK0329514616,Čierny Potok,141,75,53.19,66,46.81
SK0329514624,Číž,686,340,49.56,346,50.44
SK0329514632,Dolné Zahorany,188,95,50.53,93,49.47
SK0329514641,Dražice,254,123,48.43,131,51.57
SK0329514659,Drienčany,220,123,55.91,97,44.09
SK0329514667,Drňa,215,107,49.77,108,50.23
SK0329514683,Dubno,150,61,40.67,89,59.33
SK0329514691,Dubovec,506,252,49.8,254,50.2
SK0329514713,Figa,442,230,52.04,212,47.96
SK0329514730,Gemerček,96,43,44.79,53,55.21
SK0329514764,Gemerské Dechtáre,411,201,48.91,210,51.09
SK0329514781,Gemerský Jablonec,719,350,48.68,369,51.32
SK0329514799,Gortva,478,237,49.58,241,50.42
SK0329514811,Hajnáčka,1139,541,47.5,598,52.5
SK0329514829,Hnúšťa,6762,3302,48.83,3460,51.17
SK0329514837,Hodejov,1534,754,49.15,780,50.85
SK0329514845,Hodejovec,172,89,51.74,83,48.26
SK0329514853,Horné Zahorany,113,58,51.33,55,48.67
SK0329514861,Hostice,1050,523,49.81,527,50.19
SK0329514870,Hostišovce,229,114,49.78,115,50.22
SK0329514888,Hrachovo,799,396,49.56,403,50.44
SK0329514926,Hrušovo,172,84,48.84,88,51.16
SK0329514934,Hubovo,128,62,48.44,66,51.56
SK0329514942,Husiná,536,261,48.69,275,51.31
SK0329514951,Chanava,709,341,48.1,368,51.9
SK0329514969,Chrámec,458,230,50.22,228,49.78
SK0329514985,Ivanice,277,136,49.1,141,50.9
SK0329514993,Janice,296,142,47.97,154,52.03
SK0329515001,Jesenské (Okres Rimavská Sobota),2335,1151,49.29,1184,50.71
SK0329515019,Jestice,147,72,48.98,75,51.02
SK0329515027,Kaloša,818,388,47.43,430,52.57
SK0329515035,Kesovce,271,134,49.45,137,50.55
SK0329515043,Klenovec,3026,1477,48.81,1549,51.19
SK0329515051,Kociha,205,104,50.73,101,49.27
SK0329515060,Konrádovce,323,163,50.46,160,49.54
SK0329515078,Kráľ,932,467,50.11,465,49.89
SK0329515086,Kraskovo,133,63,47.37,70,52.63
SK0329515094,Krokava,23,16,69.57,7,30.43
SK0329515108,Kružno,347,175,50.43,172,49.57
SK0329515116,Kyjatice,65,37,56.92,28,43.08
SK0329515124,Lehota nad Rimavicou,277,139,50.18,138,49.82
SK0329515132,Lenartovce,542,286,52.77,256,47.23
SK0329515141,Lenka,200,94,47,106,53
SK0329515167,Lipovec (Okres Rimavská Sobota),90,46,51.11,44,48.89
SK0329515175,Lukovištia,163,86,52.76,77,47.24
SK0329515183,Martinová,223,112,50.22,111,49.78
SK0329515205,Neporadza (Okres Rimavská Sobota),286,159,55.59,127,44.41
SK0329515230,Nová Bašta,483,251,51.97,232,48.03
SK0329515248,Orávka,161,78,48.45,83,51.55
SK0329515264,Ožďany,1624,773,47.6,851,52.4
SK0329515272,Padarovce,149,82,55.03,67,44.97
SK0329515281,Pavlovce (Okres Rimavská Sobota),406,196,48.28,210,51.72
SK0329515299,Petrovce (Okres Rimavská Sobota),208,102,49.04,106,50.96
SK0329515337,Poproč (Okres Rimavská Sobota),23,15,65.22,8,34.78
SK0329515345,Potok (Okres Rimavská Sobota),21,12,57.14,9,42.86
SK0329515353,Radnovce,990,505,51.01,485,48.99
SK0329515388,Ratkovská Lehota,45,23,51.11,22,48.89
SK0329515396,Ratkovská Suchá,42,22,52.38,20,47.62
SK0329515426,Rimavská Baňa,528,268,50.76,260,49.24
SK0329515442,Rimavská Seč,2148,1052,48.98,1096,51.02
SK0329515451,Rimavské Brezovo,504,246,48.81,258,51.19
SK0329515469,Rimavské Janovce,1373,686,49.96,687,50.04
SK0329515485,Rovné (Okres Rimavská Sobota),118,62,52.54,56,47.46
SK0329515493,Rumince,366,172,46.99,194,53.01
SK0329515531,Slizké,242,134,55.37,108,44.63
SK0329515540,Stará Bašta,308,141,45.78,167,54.22
SK0329515566,Stránska,341,170,49.85,171,50.15
SK0329515582,Studená,273,131,47.99,142,52.01
SK0329515604,Sútor,649,328,50.54,321,49.46
SK0329515621,Šimonovce,546,268,49.08,278,50.92
SK0329515639,Širkovce,957,485,50.68,472,49.32
SK0329515647,Španie Pole,76,41,53.95,35,46.05
SK0329515655,Štrkovec,380,180,47.37,200,52.63
SK0329515663,Tachty,548,260,47.45,288,52.55
SK0329515671,Teplý Vrch,292,146,50,146,50
SK0329515680,Tisovec,3720,1792,48.17,1928,51.83
SK0329515698,Tomášovce (Okres Rimavská Sobota),205,99,48.29,106,51.71
SK0329515701,Uzovská Panica,816,407,49.88,409,50.12
SK0329515710,Včelince,789,381,48.29,408,51.71
SK0329515728,Večelkov,231,97,41.99,134,58.01
SK0329515736,Veľké Teriakovce,865,445,51.45,420,48.55
SK0329515744,Veľký Blh,1133,519,45.81,614,54.19
SK0329515752,Vieska nad Blhom,176,89,50.57,87,49.43
SK0329515779,Vlkyňa,389,187,48.07,202,51.93
SK0329515795,Valice,319,153,47.96,166,52.04
SK0329515809,Vyšný Skálnik,136,70,51.47,66,48.53
SK0329515817,Zádor,135,55,40.74,80,59.26
SK0329515841,Žíp,281,145,51.6,136,48.4
SK0329557757,Abovce,627,324,51.67,303,48.33
SK0329557765,Riečka (Okres Rimavská Sobota),218,111,50.92,107,49.08
SK0329557790,Nižný Skálnik,193,94,48.7,99,51.3
SK0329557811,Rimavské Zalužany,350,175,50,175,50
SK0329557854,Rakytník,329,151,45.9,178,54.1
SK0329557889,Gemerské Michalovce,88,46,52.27,42,47.73
SK0329557901,Vyšné Valice,259,128,49.42,131,50.58
SK0329557919,Dulovo,254,128,50.39,126,49.61
SK0329557927,Zacharovce,390,190,48.72,200,51.28
SK041A526665,Stará Ľubovňa,15938,7903,49.59,8035,50.41
SK041A526673,Čirč,1330,666,50.08,664,49.92
SK041A526681,Ďurková,224,110,49.11,114,50.89
SK041A526690,Forbasy,459,237,51.63,222,48.37
SK041A526703,Hajtovka,68,37,54.41,31,45.59
SK041A526711,Haligovce,650,342,52.62,308,47.38
SK041A526720,Hniezdne,1428,708,49.58,720,50.42
SK041A526738,Hraničné,193,102,52.85,91,47.15
SK041A526746,Hromoš,498,266,53.41,232,46.59
SK041A526754,Chmeľnica,980,478,48.78,502,51.22
SK041A526762,Jakubany,2841,1427,50.23,1414,49.77
SK041A526771,Jarabina,919,466,50.71,453,49.29
SK041A526789,Kamienka (Okres Stará Ľubovňa),1336,673,50.37,663,49.63
SK041A526797,Kolačkov,1266,658,51.97,608,48.03
SK041A526801,Kremná,94,53,56.38,41,43.62
SK041A526819,Kyjov,737,357,48.44,380,51.56
SK041A526827,Lacková,154,79,51.3,75,48.7
SK041A526835,Legnava,94,63,67.02,31,32.98
SK041A526843,Lesnica,488,255,52.25,233,47.75
SK041A526851,Litmanová,633,322,50.87,311,49.13
SK041A526860,Lomnička,3239,1649,50.91,1590,49.09
SK041A526878,Ľubotín,1319,662,50.19,657,49.81
SK041A526886,Malý Lipník,455,232,50.99,223,49.01
SK041A526894,Matysová,56,28,50,28,50
SK041A526908,Mníšek nad Popradom,611,326,53.36,285,46.64
SK041A526916,Nižné Ružbachy,626,310,49.52,316,50.48
SK041A526924,Nová Ľubovňa,3009,1516,50.38,1493,49.62
SK041A526932,Obručné,26,14,53.85,12,46.15
SK041A526941,Orlov,601,297,49.42,304,50.58
SK041A526959,Plaveč,1786,908,50.84,878,49.16
SK041A526967,Plavnica,1637,839,51.25,798,48.75
SK041A526975,Podolínec,3108,1529,49.2,1579,50.8
SK041A526983,Pusté Pole,217,103,47.47,114,52.53
SK041A526991,Ruská Voľa nad Popradom,80,38,47.5,42,52.5
SK041A527009,Starina,52,28,53.85,24,46.15
SK041A527017,Stráňany,187,93,49.73,94,50.27
SK041A527025,Sulín,305,166,54.43,139,45.57
SK041A527033,Šambron,376,185,49.2,191,50.8
SK041A527041,Šarišské Jastrabie,1492,755,50.6,737,49.4
SK041A527050,Údol,371,172,46.36,199,53.64
SK041A527068,Veľká Lesná,502,261,51.99,241,48.01
SK041A527076,Veľký Lipník,914,472,51.64,442,48.36
SK041A527084,Vislanka,265,137,51.7,128,48.3
SK041A527092,Vyšné Ružbachy,1404,686,48.86,718,51.14
SK041B527114,Baňa,187,97,51.87,90,48.13
SK041B527157,Breznica,814,402,49.39,412,50.61
SK041B527165,Breznička (Okres Stropkov),127,65,51.18,62,48.82
SK041B527173,Brusnica,308,158,51.3,150,48.7
SK041B527181,Bukovce,522,256,49.04,266,50.96
SK041B527190,Bystrá (Okres Stropkov),21,9,42.86,12,57.14
SK041B527203,Bžany,215,116,53.95,99,46.05
SK041B527262,Duplín,509,240,47.15,269,52.85
SK041B527289,Gribov,189,93,49.21,96,50.79
SK041B527297,Havaj,425,225,52.94,200,47.06
SK041B527335,Chotča,629,301,47.85,328,52.15
SK041B527343,Jakušovce,40,18,45,22,55
SK041B527386,Kolbovce,177,93,52.54,84,47.46
SK041B527408,Korunková,76,38,50,38,50
SK041B527416,Kožuchovce,48,23,47.92,25,52.08
SK041B527467,Krišľovce,32,15,46.88,17,53.13
SK041B527475,Krušinec,238,113,47.48,125,52.52
SK041B527513,Lomné,236,112,47.46,124,52.54
SK041B527521,Makovce,144,70,48.61,74,51.39
SK041B527530,Malá Poľana,115,56,48.7,59,51.3
SK041B527572,Miková,146,65,44.52,81,55.48
SK041B527581,Miňovce,339,177,52.21,162,47.79
SK041B527611,Mrázovce,81,42,51.85,39,48.15
SK041B527637,Nižná Olšava,423,223,52.72,200,47.28
SK041B527700,Oľšavka (Okres Stropkov),191,101,52.88,90,47.12
SK041B527718,Potôčky,70,36,51.43,34,48.57
SK041B527726,Potoky,88,40,45.45,48,54.55
SK041B527793,Kručov,206,105,50.97,101,49.03
SK041B527815,Soľník,35,18,51.43,17,48.57
SK041B527823,Staškovce,251,114,45.42,137,54.58
SK041B527840,Stropkov,10067,5026,49.93,5041,50.07
SK041B527866,Šandal,310,167,53.87,143,46.13
SK041B527912,Tisinec,478,241,50.42,237,49.58
SK041B527921,Tokajík,90,49,54.44,41,45.56
SK041B527939,Turany nad Ondavou,348,163,46.84,185,53.16
SK041B527971,Varechovce,138,66,47.83,72,52.17
SK041B527980,Veľkrop,231,95,41.13,136,58.87
SK041B527998,Vislava,201,102,50.75,99,49.25
SK041B528005,Vladiča,65,37,56.92,28,43.08
SK041B528013,Vojtovce,98,50,51.02,48,48.98
SK041B528021,Vyškovce,132,59,44.7,73,55.3
SK041B528048,Vyšná Olšava,641,314,48.99,327,51.01
SK041B560073,Vyšný Hrabovec,197,105,53.3,92,46.7
SK041C519197,Giraltovce,4001,2010,50.24,1991,49.76
